Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-01-03,8:33 AM,"Breakfast","Brazil Nuts, Unsalted","2.00 each",62.28,0.00,0.00,0.32,0.06,0.00,0.03,0.02,0.01,0.00,2.08,0.00,0.07,0.00,0.53,0.00,15.12,0.16,0.23,35.53,0.12,68.51,62.28,181.16,0.28,0.38,1.11,0.71,0.02,0.22,0.00,0.40,6.34,0.00,2.26,2.31,1.52,0.00,0.00,2.26,0.03,0.04,0.05,0.11,0.05,0.11,0.06,1.35,0.03,0.01,0.04,0.07,"Nut and Seed Products"
2026-01-03,8:34 AM,"Breakfast","Sunflower Seeds, Oil Roasted, Salted","0.75 tbsp, whole pieces",37.46,0.00,0.00,0.10,0.02,0.02,0.26,0.44,0.05,0.00,14.81,0.03,0.07,0.00,2.30,0.20,5.51,0.11,0.27,8.04,0.13,72.08,30.57,4.95,19.17,0.33,1.45,0.67,0.58,0.20,0.00,0.78,3.25,0.00,0.51,2.17,0.45,0.01,0.00,2.16,0.03,0.04,0.06,0.09,0.05,0.03,0.07,1.27,0.05,0.02,0.04,0.07,"Nut and Seed Products"
2026-01-03,8:37 AM,"Breakfast","Walnuts","2.00 tbsp, chopped",99.31,0.00,0.00,0.46,0.03,0.02,0.18,0.08,0.10,0.00,14.33,0.15,0.19,0.00,0.10,0.25,12.87,0.18,0.33,20.77,0.44,53.38,62.01,0.72,0.00,0.40,1.60,0.76,0.01,0.38,0.00,0.80,10.20,0.00,1.41,7.21,0.89,0.00,1.39,5.83,0.03,0.05,0.08,0.15,0.06,0.03,0.09,2.13,0.06,0.02,0.06,0.09,"Nut and Seed Products"
2026-01-03,8:40 AM,"Breakfast","Sports Research, D3 + K2 Softgels","1.00 Liquid Veggie Softgel",,,,,,,,,,,,,,5000.00,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:40 AM,"Breakfast","Naturelo, Vegan DHA Softgels","1.00 x 2.0 softgels",9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.80,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:40 AM,"Breakfast","Double Wood, Magtein Capsules, Magnesium L-Threonate","1.00 x 4.0 capsules",,,,,,,,,,,,,,,,,,,,144.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-03,8:42 AM,"Breakfast","Simple Truth, Sausage, Meatless Chorizo","1.00 sausage",230.00,,,,,,,,,,,,,0.00,,,40.00,,1.40,,,,170.00,,510.00,,7.00,0.00,,1.00,0.50,7.00,10.00,0.00,,,1.50,0.00,,,,,,,,,,27.00,,,,,"Meals, Entrees, and Sidedishes"
2026-01-03,9:20 AM,"Breakfast","Coffee","1.00 medium or grande - each 16 fl oz",4.74,0.00,189.44,470.71,0.07,0.36,0.90,1.20,0.00,0.00,9.47,0.00,0.00,0.00,0.05,0.47,9.47,0.01,0.05,14.21,0.11,14.21,232.06,0.00,9.47,0.09,2.23,2.23,0.00,0.00,0.00,0.00,0.09,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.57,0.00,0.00,0.01,0.01,"Beverages"
2026-01-03,9:20 AM,"Breakfast","Kirkland, Almond Milk, Original Unsweetened","0.25 cup (240ml)",7.50,,,57.83,,0.10,,,,0.30,,33.72,,50.00,2.00,,150.00,,0.05,,,,8.75,,27.50,0.50,0.25,0.25,,0.00,0.00,0.00,0.63,0.00,0.38,0.13,0.00,0.00,,,,,,,,,,0.25,,,,,"Beverages"
2026-01-03,12:11 PM,"Lunch","Weis, Pumpkin Seeds, Roasted & Salted","0.33 x 3.0 tbsp",53.28,,,0.19,0.01,0.01,0.41,0.05,0.01,,5.31,0.22,0.17,0.00,0.05,0.42,3.33,0.12,0.77,51.28,0.42,109.46,73.26,0.88,23.31,0.71,1.33,0.67,0.07,0.12,0.00,0.67,4.66,0.00,,,0.83,0.00,,,0.03,0.07,0.12,0.22,0.11,0.06,0.16,2.66,0.09,0.05,0.10,0.15,"Nut and Seed Products"
2026-01-03,12:12 PM,"Lunch","Kirkland Signature, Almonds","0.50 x 0.25 Cup",80.00,,,0.66,0.03,0.17,0.54,0.07,0.02,,6.60,0.09,0.00,,3.84,,40.00,0.15,0.54,40.50,0.33,72.15,100.00,0.61,0.15,0.47,3.00,1.50,0.11,0.50,,1.50,7.00,0.00,,,0.50,0.00,,,0.03,0.08,0.11,0.22,0.09,0.02,0.17,3.00,0.09,0.03,0.07,0.13,"Nut and Seed Products"
2026-01-03,12:17 PM,"Lunch","Avocados, Raw, California","63.75 g",106.46,,,46.11,0.05,0.09,1.22,0.93,0.18,,56.74,4.46,5.61,,1.26,13.39,8.29,0.11,0.39,18.49,0.09,34.43,323.21,0.26,5.10,0.43,5.51,4.34,0.07,0.19,,1.17,9.82,,6.25,1.16,1.36,,0.07,1.08,0.02,0.03,0.05,0.09,0.08,0.02,0.06,1.25,0.05,0.02,0.03,0.07,"Fruits and Fruit Juices"
2026-01-03,12:39 PM,"Lunch","Avocados, Raw, California","63.75 g",106.46,,,46.11,0.05,0.09,1.22,0.93,0.18,,56.74,4.46,5.61,,1.26,13.39,8.29,0.11,0.39,18.49,0.09,34.43,323.21,0.26,5.10,0.43,5.51,4.34,0.07,0.19,,1.17,9.82,,6.25,1.16,1.36,,0.07,1.08,0.02,0.03,0.05,0.09,0.08,0.02,0.06,1.25,0.05,0.02,0.03,0.07,"Fruits and Fruit Juices"
2026-01-03,12:39 PM,"Lunch","Lightlife, Tempeh, Original","70.00 g",125.00,,,,,,,,,,,,,0.00,,,75.00,,1.25,,,,200.00,,12.50,,6.67,5.00,,0.00,0.00,1.67,5.00,0.00,,,0.83,0.00,,,,,,,,,,15.00,,,,,"Legumes and Legume Products"
2026-01-03,12:39 PM,"Lunch","Red Bell Peppers, Raw","53.00 g",14.31,0.00,0.00,48.72,0.03,0.08,0.54,0.17,0.16,0.00,24.91,82.99,75.10,0.00,0.84,2.60,3.18,0.02,0.19,5.83,0.07,14.31,112.89,0.00,0.00,0.11,3.52,0.61,0.00,2.23,0.00,2.87,0.07,0.00,0.00,0.04,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.02,0.00,0.02,0.48,0.02,0.01,0.00,0.01,"Vegetables and Vegetable Products"
2026-01-03,12:39 PM,"Lunch","Tomato, Red, Raw","0.50 medium - 2 3/5"" diameter",11.07,0.00,0.00,58.13,0.02,0.01,0.37,0.05,0.05,0.00,9.23,25.60,8.43,0.00,0.33,4.86,6.15,0.04,0.17,6.77,0.07,14.76,145.76,0.00,3.08,0.10,2.39,0.74,0.00,1.62,0.00,1.65,0.12,0.00,0.02,0.05,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.00,0.02,0.54,0.02,0.00,0.01,0.01,"Vegetables and Vegetable Products"
2026-01-03,12:39 PM,"Lunch","Lentils, Cooked From Dried","0.25 cup, whole pieces",57.42,0.00,0.00,34.47,0.08,0.04,0.52,0.32,0.09,0.00,89.59,0.21,0.74,0.00,0.05,0.84,9.40,0.12,1.65,17.82,0.24,89.10,182.65,1.39,0.99,0.63,9.96,2.90,6.63,0.19,0.00,7.06,0.19,0.00,0.03,0.09,0.03,0.00,0.02,0.07,0.06,0.13,0.19,0.32,0.31,0.04,0.22,4.46,0.16,0.04,0.12,0.22,"Legumes and Legume Products"
2026-01-03,12:39 PM,"Lunch","Bragg, Nutritional Yeast, Cheesy","1.00 tbsp",20.00,,,,3.10,3.15,17.50,,3.60,7.50,176.50,,,,,,,,0.50,,,,107.00,,10.00,,1.50,1.00,,,,0.50,0.00,,,,,,,,,,,,,,,2.50,,,,,"Spices and Herbs"
2026-01-03,12:39 PM,"Lunch","Morton Salt, Iodized Salt","1.00 x 0.25 tsp",0.00,,,0.00,,,,,,,,,,0.00,,,0.36,0.00,0.00,0.02,0.00,,0.12,0.00,590.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-03,12:39 PM,"Lunch","Mateo's, Gourmet Salsa, Medium","0.50 x 2.0 tbsp",5.00,,,,,,,,,,,,,0.00,,,10.00,,0.10,,,,35.00,,105.00,,1.00,0.00,,0.50,0.00,1.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Soups, Sauces, and Gravies"
2026-01-03,12:39 PM,"Lunch","Kirkland Signature, Organic No-Salt Seasoning","6.00 x 0.25 tsp",0.00,,,,,,,,,,,180.00,0.00,,,,,,,,,,,,0.00,,0.00,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-03,12:50 PM,"Lunch","Brussels Sprouts, Cooked from Frozen","61.00 g",25.62,0.00,0.00,52.91,0.06,0.07,0.33,0.21,0.18,0.00,61.61,28.21,27.88,0.00,0.31,118.04,15.86,0.02,0.29,10.98,0.13,34.16,176.90,0.37,9.15,0.15,5.08,2.50,0.37,1.27,0.00,2.53,0.24,0.00,0.02,0.12,0.05,0.00,0.08,0.00,0.01,0.05,0.09,0.10,0.10,0.02,0.06,2.22,0.08,0.02,0.03,0.10,"Vegetables and Vegetable Products"
2026-01-03,12:53 PM,"Lunch","Wildbrine, Raw Organic Sauerkraut","49.50 g",8.25,,,,,,,,,,,0.00,19.80,,,,0.00,,0.00,,,,,,396.00,,3.30,0.83,,0.83,,2.48,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Vegetables and Vegetable Products"
2026-01-03,12:55 PM,"Lunch","Nature's Bounty, Quick Dissolve B-12","1.00 tablet",,,,,,,,,,2500.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-03,7:39 PM,"Dinner","Upton's Naturals, Traditional Seitan In Chunks, Traditional","57.00 g",90.06,,,,,,,,,,,,,0.00,,,39.90,,1.40,,,,59.85,,440.04,,5.00,1.03,,0.00,,3.97,0.50,0.00,,,0.00,0.00,,,,,,,,,,18.00,,,,,""
2026-01-03,7:50 PM,"Dinner","Spinach, Cooked from Fresh","59.50 g",13.69,0.00,0.00,54.27,0.06,0.14,0.29,0.09,0.14,0.00,86.87,311.78,5.83,0.00,1.24,293.69,80.92,0.10,2.12,51.77,0.56,33.32,277.27,0.89,41.65,0.45,2.23,1.43,0.00,0.26,0.00,0.78,0.15,0.00,0.00,0.06,0.03,0.00,0.05,0.00,0.02,0.04,0.09,0.14,0.11,0.03,0.08,1.77,0.08,0.02,0.07,0.10,"Vegetables and Vegetable Products"
2026-01-03,7:51 PM,"Dinner","Olive Oil","0.50 tbsp",59.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,4.06,0.07,0.00,0.04,0.00,0.00,0.00,0.07,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,0.00,4.92,0.71,0.93,0.01,0.05,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2026-01-03,7:57 PM,"Dinner","Apples, Raw, Gala, with Skin","0.50 medium",49.02,,,73.75,0.01,0.02,0.06,0.05,0.04,,2.58,0.86,3.96,,0.15,1.12,6.02,0.02,0.10,4.30,0.03,9.46,92.88,,0.86,0.04,11.76,1.98,0.04,8.92,,9.79,0.10,,0.01,0.04,0.02,,0.01,0.04,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.22,0.01,0.00,0.00,0.01,"Fruits and Fruit Juices"
2026-01-03,8:02 PM,"Dinner","Kirkland Signature, Organic Almond Butter, Creamy","1.00 x 2.0 tbsp",210.00,,,0.52,0.01,0.30,1.01,0.10,0.03,,16.96,0.10,,0.00,7.75,,110.00,0.30,1.00,89.28,0.68,162.56,240.00,0.77,2.24,1.05,6.00,5.00,,1.00,0.00,1.00,19.00,0.00,10.38,4.36,1.50,0.00,0.00,4.35,0.08,0.18,0.26,0.47,0.20,0.04,0.37,7.00,0.18,0.05,0.19,0.30,"Nut and Seed Products"
2026-01-03,9:39 PM,"Dinner","Avocados, Raw, California","110.00 g",183.70,,,79.56,0.08,0.16,2.10,1.61,0.32,,97.90,7.70,9.68,,2.17,23.10,14.30,0.19,0.67,31.90,0.16,59.40,557.70,0.44,8.80,0.75,9.50,7.48,0.12,0.33,,2.02,16.95,,10.78,2.00,2.34,,0.12,1.86,0.03,0.05,0.09,0.16,0.14,0.04,0.10,2.16,0.08,0.03,0.05,0.12,"Fruits and Fruit Juices"
2026-01-03,2:29 PM,"Snack 1","Cashews, Raw","2.00 tbsp, whole pieces",86.61,0.00,0.00,0.78,0.07,0.01,0.17,0.14,0.07,0.00,4.06,0.00,0.08,0.00,0.15,5.54,6.82,0.36,0.97,40.79,0.32,86.45,103.67,3.36,0.81,0.82,5.90,0.67,3.82,0.96,0.00,5.22,6.31,0.00,3.43,1.13,1.12,0.00,0.01,1.12,0.06,0.07,0.12,0.23,0.14,0.06,0.15,2.83,0.11,0.04,0.08,0.17,"Nut and Seed Products"
2026-01-03,2:57 PM,"Snack 1","Members Mark, Broccoli Florets","1.00 cup",25.00,,,,,,,,,,,,,,,,40.00,,0.72,,,,180.00,,20.00,,4.00,3.00,,1.00,,1.00,,,,,,,,,,,,,,,,2.00,,,,,"Vegetables and Vegetable Products"
2026-01-03,3:13 PM,"Snack 1","XS, Protein Crisps, Sriracha Lime","1.00 packet",180.00,,,,,,,,,,,0.00,0.00,,,,150.00,,0.00,,,,240.00,,260.00,,21.00,1.00,,0.00,0.00,20.00,6.00,0.00,,,0.50,0.00,,,,,,,,,,12.00,,,,,"Snacks"
2026-01-03,2:30 PM,"Snack 1","Navitas, Organic Cacao Powder, Unsweetened, 25 Cal","0.50 tbsp",12.50,,10.00,,,,,,,,,,,0.00,,,7.00,,0.50,,,,58.00,,0.00,,1.50,1.00,,0.00,0.00,0.50,0.25,0.00,,,0.00,0.00,,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-03,2:30 PM,"Snack 1","Kirkland, Almond Milk, Original Unsweetened","0.75 cup (240ml)",22.50,,,173.50,,0.30,,,,0.90,,101.15,,150.00,6.00,,450.00,,0.15,,,,26.25,,82.50,1.50,0.75,0.75,,0.00,0.00,0.00,1.88,0.00,1.13,0.38,0.00,0.00,,,,,,,,,,0.75,,,,,"Beverages"
2026-01-03,2:30 PM,"Snack 1","Now Sports, Pea Protein, Natural Unflavored","34.00 g",136.00,,,,,,,,,,,,,0.00,,,98.60,,8.50,,,,35.70,,391.00,,1.70,1.70,,0.00,0.00,0.00,2.55,0.00,,,0.00,0.00,,,0.37,0.61,1.13,2.07,1.85,0.22,1.36,25.50,0.96,0.22,0.92,1.22,"Supplements"
2026-01-03,2:30 PM,"Snack 1","Kirkland Signature, Hemp Hearts, Shelled Hemp Seeds, Organic","5.00 g",30.00,,,0.25,0.05,0.02,0.50,,0.03,,7.50,0.05,0.03,0.00,0.17,,3.17,0.07,0.67,32.83,0.38,76.50,55.50,,0.25,0.50,0.33,0.17,,0.17,0.00,0.17,2.50,0.00,0.33,2.00,0.25,0.00,,,0.03,0.05,0.06,0.11,0.06,0.05,0.07,1.67,0.06,0.02,0.06,0.09,"Cereal Grains and Pasta"
2026-01-03,2:30 PM,"Snack 1","Volupta, Chia Seeds","5.00 g",26.67,,,,,,,,,,,,,0.00,,,30.33,,0.50,,,,29.00,,,,1.67,1.67,,0.00,0.00,0.00,1.67,0.00,0.17,1.33,0.17,,1.02,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-03,2:30 PM,"Snack 1","Feel Good, Beetroot Powder","0.75 g",2.50,,,,,,,,,,,0.00,0.15,,,,2.50,,0.05,,,,19.75,,4.75,,0.50,0.25,,0.25,,0.25,0.13,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,"Supplements"
2026-01-03,12:17 PM,"Snack 2","Avocados, Raw, California","63.75 g",106.46,,,46.11,0.05,0.09,1.22,0.93,0.18,,56.74,4.46,5.61,,1.26,13.39,8.29,0.11,0.39,18.49,0.09,34.43,323.21,0.26,5.10,0.43,5.51,4.34,0.07,0.19,,1.17,9.82,,6.25,1.16,1.36,,0.07,1.08,0.02,0.03,0.05,0.09,0.08,0.02,0.06,1.25,0.05,0.02,0.03,0.07,"Fruits and Fruit Juices"
2026-01-03,10:05 PM,"Snack 2","Heinz Usa, Vinegar","1.00 tbsp",0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,0.00,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,,""
2026-01-03,10:05 PM,"Snack 2","Now, Whole Psyllium Husks","1.67 x 2.0 Tbsp",58.31,,,,,,,,,,,,,,,,,,2.83,,,,161.60,,16.66,,13.33,11.66,,,,1.67,0.00,,,,,,,,,,,,,,,0.00,,,,,"Supplements"
2026-01-03,10:05 PM,"Snack 2","Simply Organic, Ceylon Cinnamon","0.50 tsp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spices and Herbs"
2026-01-03,10:20 PM,"Snack 2","Pete And Gerry's Organics, Fresh Large Brown Eggs","2.00 egg",140.00,,,,,,,,,,,180.00,0.00,,,,40.00,,1.44,,,,,,140.00,,0.00,,,,,0.00,10.00,370.00,,,3.00,,,,,,,,,,,12.00,,,,,""
2026-01-03,10:20 PM,"Snack 2","Simple Truth, Kipster, Carbon Neutral Eggs, Large, Grade A, White","2.00 egg",140.00,,,74.62,0.07,0.51,0.06,1.40,0.12,1.11,44.00,149.00,,80.00,1.03,0.30,60.00,0.01,1.80,10.00,0.03,172.00,140.00,30.80,140.00,1.05,1.12,0.00,,1.12,0.00,1.12,10.00,370.00,4.08,1.41,3.00,0.00,0.08,1.19,0.29,0.30,0.69,1.08,0.90,0.39,0.67,12.00,0.60,0.15,0.51,0.77,"Dairy and Egg Products"
2026-01-03,10:20 PM,"Snack 2","Olive Oil","1.00 tbsp",119.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,8.13,0.13,0.00,0.08,0.00,0.00,0.00,0.13,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.00,9.85,1.42,1.86,0.02,0.10,1.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2026-01-03,10:20 PM,"Snack 2","Morton Salt, Iodized Salt","1.00 x 0.25 tsp",0.00,,,0.00,,,,,,,,,,0.00,,,0.36,0.00,0.00,0.02,0.00,,0.12,0.00,590.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-03,10:20 PM,"Snack 2","Mateo's, Gourmet Salsa, Medium","1.00 x 2.0 tbsp",10.00,,,,,,,,,,,,,0.00,,,20.00,,0.30,,,,80.00,,180.00,,2.00,0.00,,1.00,0.00,2.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Soups, Sauces, and Gravies"
2026-01-03,10:41 PM,"Snack 2","Hampton Farms, Organic Peanut Butter, Creamy","1.00 x 2.0 tbsp",190.00,,,,,,,,,,,,,0.00,,,20.00,,0.50,,,,200.00,,65.00,,7.00,3.00,,2.00,0.00,4.00,16.00,0.00,,,2.50,0.00,,,,,,,,,,8.00,,,,,"Nut and Seed Products"
2026-01-04,12:51 AM,"Uncategorized","Sourdough Bread","62.50 g",170.00,0.00,0.00,20.63,0.44,0.27,3.01,0.28,0.07,0.00,106.25,0.00,0.00,0.00,0.13,0.44,32.50,0.10,2.44,20.00,0.36,65.63,73.13,17.88,376.25,0.65,32.43,1.38,27.64,2.89,0.00,31.03,1.51,0.00,0.23,0.53,0.33,0.00,0.04,0.49,0.15,0.13,0.23,0.43,0.18,0.10,0.31,6.72,0.18,0.08,0.12,0.27,"Baked Products"
2026-01-04,12:54 AM,"Uncategorized","Smart Balance, Buttery Spread, 79% Vegetable Oils","1.00 tbsp",100.00,,,,,,,,,,,168.00,,0.00,,,0.00,,0.00,,,,0.00,,90.00,,0.00,0.00,,0.00,0.00,0.00,11.00,0.00,3.50,4.00,3.50,0.00,,,,,,,,,,0.00,,,,,"Fats and Oils"
2026-01-04,9:15 AM,"Breakfast","Brazil Nuts, Unsalted","2.00 each",62.28,0.00,0.00,0.32,0.06,0.00,0.03,0.02,0.01,0.00,2.08,0.00,0.07,0.00,0.53,0.00,15.12,0.16,0.23,35.53,0.12,68.51,62.28,181.16,0.28,0.38,1.11,0.71,0.02,0.22,0.00,0.40,6.34,0.00,2.26,2.31,1.52,0.00,0.00,2.26,0.03,0.04,0.05,0.11,0.05,0.11,0.06,1.35,0.03,0.01,0.04,0.07,"Nut and Seed Products"
2026-01-04,9:15 AM,"Breakfast","Sunflower Seeds, Oil Roasted, Salted","0.75 tbsp, whole pieces",37.46,0.00,0.00,0.10,0.02,0.02,0.26,0.44,0.05,0.00,14.81,0.03,0.07,0.00,2.30,0.20,5.51,0.11,0.27,8.04,0.13,72.08,30.57,4.95,19.17,0.33,1.45,0.67,0.58,0.20,0.00,0.78,3.25,0.00,0.51,2.17,0.45,0.01,0.00,2.16,0.03,0.04,0.06,0.09,0.05,0.03,0.07,1.27,0.05,0.02,0.04,0.07,"Nut and Seed Products"
2026-01-04,9:20 AM,"Breakfast","Walnuts","2.00 tbsp, chopped",99.31,0.00,0.00,0.46,0.03,0.02,0.18,0.08,0.10,0.00,14.33,0.15,0.19,0.00,0.10,0.25,12.87,0.18,0.33,20.77,0.44,53.38,62.01,0.72,0.00,0.40,1.60,0.76,0.01,0.38,0.00,0.80,10.20,0.00,1.41,7.21,0.89,0.00,1.39,5.83,0.03,0.05,0.08,0.15,0.06,0.03,0.09,2.13,0.06,0.02,0.06,0.09,"Nut and Seed Products"
2026-01-04,9:25 AM,"Breakfast","Field Roast, Plant-Based Sausages, Italian Garlic & Fennel, Canada","1.00 sausage",240.00,,,,3.60,0.07,4.00,1.50,1.00,21.00,0.00,225.00,0.00,,,,50.00,0.20,0.75,60.00,,,250.00,,720.00,7.50,13.00,3.00,,1.00,,10.00,10.00,0.00,,,1.50,0.00,,,,,,,,,,25.00,,,,,"Meals, Entrees, and Sidedishes"
2026-01-04,9:35 AM,"Breakfast","Sports Research, D3 + K2 Softgels","1.00 Liquid Veggie Softgel",,,,,,,,,,,,,,5000.00,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-04,9:35 AM,"Breakfast","Naturelo, Vegan DHA Softgels","1.00 x 2.0 softgels",9.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,0.80,,,,,,,,,,,,,,"Supplements"
2026-01-04,9:35 AM,"Breakfast","Double Wood, Magtein Capsules, Magnesium L-Threonate","1.00 x 4.0 capsules",,,,,,,,,,,,,,,,,,,,144.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Supplements"
2026-01-04,10:02 AM,"Breakfast","Coffee","1.00 medium or grande - each 16 fl oz",4.74,0.00,189.44,470.71,0.07,0.36,0.90,1.20,0.00,0.00,9.47,0.00,0.00,0.00,0.05,0.47,9.47,0.01,0.05,14.21,0.11,14.21,232.06,0.00,9.47,0.09,2.23,2.23,0.00,0.00,0.00,0.00,0.09,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.57,0.00,0.00,0.01,0.01,"Beverages"
