Day,Time,Group,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2026-01-04,10:02 AM,"Breakfast","Kirkland, Almond Milk, Original Unsweetened","0.25 cup (240ml)",7.50,,,57.83,,0.10,,,,0.30,,33.72,,50.00,2.00,,150.00,,0.05,,,,8.75,,27.50,0.50,0.25,0.25,,0.00,0.00,0.00,0.63,0.00,0.38,0.13,0.00,0.00,,,,,,,,,,0.25,,,,,"Beverages"
2026-01-04,9:59 AM,"Breakfast","Nature's Partner, Organic Blueberries","29.00 g",14.50,,,24.42,0.01,0.01,0.12,0.04,0.02,,1.74,0.87,0.83,0.00,0.17,5.60,2.07,0.02,0.06,1.74,0.10,3.48,16.57,0.03,0.29,0.05,3.52,0.83,0.01,2.49,0.00,2.69,0.21,0.00,0.01,0.04,0.01,0.00,0.02,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.10,0.01,0.00,0.00,0.01,"Fruits and Fruit Juices"
2026-01-04,5:13 PM,"Lunch","Avocados, Raw, California","56.50 g",94.35,,,40.87,0.04,0.08,1.08,0.83,0.16,,50.29,3.96,4.97,,1.11,11.87,7.35,0.10,0.34,16.38,0.08,30.51,286.46,0.23,4.52,0.38,4.88,3.84,0.06,0.17,,1.04,8.71,,5.54,1.03,1.20,,0.06,0.95,0.02,0.03,0.05,0.08,0.07,0.02,0.05,1.11,0.04,0.01,0.03,0.06,"Fruits and Fruit Juices"
2026-01-04,5:30 PM,"Lunch","Kirkland Signature, Almonds","22.00 g",117.33,,,0.97,0.05,0.25,0.80,0.10,0.03,,9.68,0.13,0.00,,5.64,,58.67,0.23,0.79,59.40,0.48,105.82,146.67,0.90,0.22,0.69,4.40,2.20,0.16,0.73,,2.20,10.27,0.00,,,0.73,0.00,,,0.05,0.12,0.17,0.32,0.12,0.03,0.25,4.40,0.13,0.05,0.10,0.19,"Nut and Seed Products"
2026-01-04,5:34 PM,"Lunch","Kirkland Signature, Extra Firm Organic Tofu","108.50 g",127.65,,,,,,,,,,,,,0.00,,,153.18,,1.66,,,,178.71,,6.38,,3.83,1.28,,1.28,0.00,2.55,6.38,0.00,1.91,3.83,0.64,0.00,,,,,,,,,,12.76,,,,,""
2026-01-04,5:34 PM,"Lunch","Broccoli, Cooked from Frozen","1.00 cup, whole pieces",27.16,0.00,0.00,88.00,0.05,0.08,0.44,0.27,0.13,0.00,54.32,49.07,38.90,0.00,1.10,85.46,32.01,0.03,0.59,12.61,0.22,47.53,137.75,0.68,10.67,0.27,5.19,2.91,0.66,1.43,0.00,2.28,0.12,0.00,0.01,0.05,0.02,0.00,0.04,0.00,0.02,0.05,0.12,0.14,0.15,0.04,0.09,3.01,0.10,0.03,0.07,0.14,"Vegetables and Vegetable Products"
2026-01-04,5:34 PM,"Lunch","Red Bell Peppers, Raw","44.00 g",11.88,0.00,0.00,40.45,0.02,0.06,0.45,0.14,0.13,0.00,20.68,68.90,62.35,0.00,0.70,2.16,2.64,0.02,0.15,4.84,0.06,11.88,93.72,0.00,0.00,0.09,2.93,0.51,0.00,1.85,0.00,2.38,0.06,0.00,0.00,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.40,0.02,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2026-01-04,5:34 PM,"Lunch","Avocados, Raw, California","56.50 g",94.35,,,40.87,0.04,0.08,1.08,0.83,0.16,,50.29,3.96,4.97,,1.11,11.87,7.35,0.10,0.34,16.38,0.08,30.51,286.46,0.23,4.52,0.38,4.88,3.84,0.06,0.17,,1.04,8.71,,5.54,1.03,1.20,,0.06,0.95,0.02,0.03,0.05,0.08,0.07,0.02,0.05,1.11,0.04,0.01,0.03,0.06,"Fruits and Fruit Juices"
2026-01-04,5:34 PM,"Lunch","Tomato, Red, Raw","0.50 medium - 2 3/5"" diameter",11.07,0.00,0.00,58.13,0.02,0.01,0.37,0.05,0.05,0.00,9.23,25.60,8.43,0.00,0.33,4.86,6.15,0.04,0.17,6.77,0.07,14.76,145.76,0.00,3.08,0.10,2.39,0.74,0.00,1.62,0.00,1.65,0.12,0.00,0.02,0.05,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.00,0.02,0.54,0.02,0.00,0.01,0.01,"Vegetables and Vegetable Products"
2026-01-04,5:34 PM,"Lunch","Morton Salt, Iodized Salt","0.50 x 0.25 tsp",0.00,,,0.00,,,,,,,,,,0.00,,,0.18,0.00,0.00,0.01,0.00,,0.06,0.00,295.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-04,5:34 PM,"Lunch","Kirkland Signature, Organic No-Salt Seasoning","2.00 x 0.25 tsp",0.00,,,,,,,,,,,60.00,0.00,,,,,,,,,,,,0.00,,0.00,,,,,0.00,0.00,,,,,,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-04,5:34 PM,"Lunch","Bragg, Nutritional Yeast, Cheesy","1.00 tbsp",20.00,,,,3.10,3.15,17.50,,3.60,7.50,176.50,,,,,,,,0.50,,,,107.00,,10.00,,1.50,1.00,,,,0.50,0.00,,,,,,,,,,,,,,,2.50,,,,,"Spices and Herbs"
2026-01-04,7:04 PM,"Dinner","Sweet Potato French Fries","1.00 order - from a restaurant",274.71,0.00,0.00,116.69,0.16,0.16,2.29,1.36,0.44,0.00,9.24,1479.61,30.18,0.00,2.97,31.86,58.82,0.25,1.07,41.58,0.77,83.15,731.44,7.37,293.80,0.49,31.89,5.08,10.86,9.98,0.00,26.67,15.63,0.00,3.41,9.01,2.37,0.08,1.03,7.84,0.04,0.06,0.11,0.18,0.13,0.06,0.18,3.10,0.16,0.06,0.07,0.17,"Vegetables and Vegetable Products"
2026-01-04,7:04 PM,"Dinner","Follow Your Heart, Vegan Ranch Dressing","0.75 x 2.0 tbsp",97.50,,,,,,,,,,,,,0.00,,,0.00,,0.00,,,,0.00,,93.75,,0.75,0.00,,0.00,0.00,0.75,10.50,0.00,6.00,3.00,0.75,0.00,,,,,,,,,,0.00,,,,,"Fats and Oils"
2026-01-04,7:47 PM,"Dinner","True Food Kitchen, Vegan Double Cheeseburger","1.00 Serving",890.00,,,,,,,,,,,,,,,,,,,,,,,,1840.00,,88.00,0.00,,13.00,,88.00,53.00,0.00,,,8.00,0.00,,,,,,,,,,18.00,,,,,"Restaurant Foods"
2026-01-04,2:55 PM,"Snack 1","Navitas, Organic Cacao Powder, Unsweetened, 25 Cal","0.50 tbsp",12.50,,10.00,,,,,,,,,,,0.00,,,7.00,,0.50,,,,58.00,,0.00,,1.50,1.00,,0.00,0.00,0.50,0.25,0.00,,,0.00,0.00,,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-04,2:55 PM,"Snack 1","Kirkland, Almond Milk, Original Unsweetened","0.75 cup (240ml)",22.50,,,173.50,,0.30,,,,0.90,,101.15,,150.00,6.00,,450.00,,0.15,,,,26.25,,82.50,1.50,0.75,0.75,,0.00,0.00,0.00,1.88,0.00,1.13,0.38,0.00,0.00,,,,,,,,,,0.75,,,,,"Beverages"
2026-01-04,2:55 PM,"Snack 1","Now Sports, Pea Protein, Natural Unflavored","34.00 g",136.00,,,,,,,,,,,,,0.00,,,98.60,,8.50,,,,35.70,,391.00,,1.70,1.70,,0.00,0.00,0.00,2.55,0.00,,,0.00,0.00,,,0.37,0.61,1.13,2.07,1.85,0.22,1.36,25.50,0.96,0.22,0.92,1.22,"Supplements"
2026-01-04,2:55 PM,"Snack 1","Kirkland Signature, Hemp Hearts, Shelled Hemp Seeds, Organic","5.00 g",30.00,,,0.25,0.05,0.02,0.50,,0.03,,7.50,0.05,0.03,0.00,0.17,,3.17,0.07,0.67,32.83,0.38,76.50,55.50,,0.25,0.50,0.33,0.17,,0.17,0.00,0.17,2.50,0.00,0.33,2.00,0.25,0.00,,,0.03,0.05,0.06,0.11,0.06,0.05,0.07,1.67,0.06,0.02,0.06,0.09,"Cereal Grains and Pasta"
2026-01-04,2:55 PM,"Snack 1","Volupta, Chia Seeds","5.00 g",26.67,,,,,,,,,,,,,0.00,,,30.33,,0.50,,,,29.00,,,,1.67,1.67,,0.00,0.00,0.00,1.67,0.00,0.17,1.33,0.17,,1.02,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-04,2:55 PM,"Snack 1","Feel Good, Beetroot Powder","0.75 g",2.50,,,,,,,,,,,0.00,0.15,,,,2.50,,0.05,,,,19.75,,4.75,,0.50,0.25,,0.25,,0.25,0.13,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,"Supplements"
2026-01-04,9:47 PM,"Snack 2","Trader Joe's, Organic Gala Apples","96.50 g",50.13,,,82.57,0.02,0.03,0.09,0.06,0.04,,2.90,18.80,4.51,,0.17,2.12,5.79,0.03,0.23,4.83,0.03,10.62,106.53,,0.97,0.04,13.79,2.51,0.05,10.03,,11.28,0.16,0.00,0.01,0.05,0.03,0.00,0.01,0.04,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.25,0.01,0.00,0.00,0.01,"Fruits and Fruit Juices"
2026-01-04,9:51 PM,"Snack 2","Kirkland Signature, Organic Almond Butter, Creamy","1.00 x 2.0 tbsp",210.00,,,0.52,0.01,0.30,1.01,0.10,0.03,,16.96,0.10,,0.00,7.75,,110.00,0.30,1.00,89.28,0.68,162.56,240.00,0.77,2.24,1.05,6.00,5.00,,1.00,0.00,1.00,19.00,0.00,10.38,4.36,1.50,0.00,0.00,4.35,0.08,0.18,0.26,0.47,0.20,0.04,0.37,7.00,0.18,0.05,0.19,0.30,"Nut and Seed Products"
2026-01-04,12:07 AM,"Snack 3","Simple Truth, Kipster, Carbon Neutral Eggs, Large, Grade A, White","4.00 egg",280.00,,,149.24,0.13,1.03,0.13,2.80,0.24,2.22,88.00,298.00,,160.00,2.06,0.60,120.00,0.03,3.60,20.00,0.05,344.00,280.00,61.60,280.00,2.10,2.24,0.00,,2.24,0.00,2.24,20.00,740.00,8.15,2.83,6.00,0.00,0.16,2.38,0.58,0.60,1.37,2.15,1.81,0.78,1.34,24.00,1.21,0.31,1.03,1.53,"Dairy and Egg Products"
2026-01-04,12:09 AM,"Snack 3","Olive Oil","0.50 tbsp",59.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,4.06,0.07,0.00,0.04,0.00,0.00,0.00,0.07,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,0.00,4.92,0.71,0.93,0.01,0.05,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2026-01-05,3:22 AM,"Uncategorized","Simple Truth Organic, Gala Apples","0.50 Serving",49.00,,,75.23,0.01,0.03,0.07,0.05,0.04,,2.63,7.21,,,0.16,1.14,6.00,0.02,0.11,4.39,0.03,9.65,94.74,,1.00,0.04,12.00,2.00,0.04,9.10,,10.00,0.11,,,,0.00,0.00,,,,,,,,,,0.22,,,,,"Fruits and Fruit Juices"
2026-01-05,3:23 AM,"Uncategorized","Peanut Butter, Natural, Unsalted","2.00 tbsp",187.84,0.00,0.00,0.58,0.05,0.06,4.59,0.32,0.15,0.00,31.04,0.00,0.00,0.00,1.58,0.00,18.56,0.14,0.51,56.96,0.57,116.16,202.88,2.98,1.92,0.89,6.80,2.69,1.40,1.57,0.00,4.07,15.89,0.00,8.38,3.13,2.47,0.01,0.01,3.11,0.10,0.19,0.27,0.49,0.27,0.09,0.39,7.79,0.26,0.07,0.31,0.32,"Fats and Oils"
2026-01-05,10:15 AM,"Breakfast","Simple Truth, Sausage, Meatless Chorizo","0.50 sausage",115.00,,,,,,,,,,,,,0.00,,,20.00,,0.70,,,,85.00,,255.00,,3.50,0.00,,0.50,0.25,3.50,5.00,0.00,,,0.75,0.00,,,,,,,,,,13.50,,,,,"Meals, Entrees, and Sidedishes"
2026-01-05,10:27 AM,"Breakfast","Good & Gather, Cinnamon, Ground","0.25 tsp",1.61,,,0.07,0.00,0.00,0.01,0.00,0.00,,0.04,0.10,0.02,,0.02,0.20,6.51,0.00,0.05,0.39,0.11,0.42,2.80,0.02,0.07,0.01,0.52,0.35,0.16,0.01,,0.18,0.01,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,"Spices and Herbs"
2026-01-05,10:28 AM,"Breakfast","Kroger, Old Fashioned Oats, 100% Whole Grain","1.00 x 0.5 cup (uncooked)",150.00,,,,,,,,,,,0.00,0.00,0.00,,,20.00,,2.00,,,,100.00,,0.00,,27.00,4.00,,1.00,0.00,23.00,2.50,0.00,1.00,1.00,0.00,0.00,,,,,,,,,,5.00,,,,,"Cereal Grains and Pasta"
2026-01-05,10:29 AM,"Breakfast","Kirkland Signature, Walnuts","18.50 g",123.33,,,0.75,0.06,0.03,0.21,0.11,0.10,,18.13,0.19,0.24,0.00,0.13,0.50,18.50,0.29,0.55,29.23,0.63,64.01,80.17,0.91,0.37,0.57,2.47,1.23,0.01,0.62,0.00,1.23,12.33,0.00,1.65,8.73,1.23,0.00,1.68,7.05,0.04,0.07,0.12,0.22,0.08,0.04,0.13,3.08,0.11,0.03,0.08,0.14,"Nut and Seed Products"
2026-01-05,10:00 AM,"Breakfast","Brazil Nuts, Unsalted","2.00 each",62.28,0.00,0.00,0.32,0.06,0.00,0.03,0.02,0.01,0.00,2.08,0.00,0.07,0.00,0.53,0.00,15.12,0.16,0.23,35.53,0.12,68.51,62.28,181.16,0.28,0.38,1.11,0.71,0.02,0.22,0.00,0.40,6.34,0.00,2.26,2.31,1.52,0.00,0.00,2.26,0.03,0.04,0.05,0.11,0.05,0.11,0.06,1.35,0.03,0.01,0.04,0.07,"Nut and Seed Products"
2026-01-05,10:00 AM,"Breakfast","Sunflower Seeds, Oil Roasted, Salted","0.75 tbsp, whole pieces",37.46,0.00,0.00,0.10,0.02,0.02,0.26,0.44,0.05,0.00,14.81,0.03,0.07,0.00,2.30,0.20,5.51,0.11,0.27,8.04,0.13,72.08,30.57,4.95,19.17,0.33,1.45,0.67,0.58,0.20,0.00,0.78,3.25,0.00,0.51,2.17,0.45,0.01,0.00,2.16,0.03,0.04,0.06,0.09,0.05,0.03,0.07,1.27,0.05,0.02,0.04,0.07,"Nut and Seed Products"
2026-01-05,10:33 AM,"Breakfast","Navitas, Organic Cacao Powder, Unsweetened, 25 Cal","1.00 g",4.17,,3.33,,,,,,,,,,,0.00,,,2.33,,0.17,,,,19.33,,0.00,,0.50,0.33,,0.00,0.00,0.17,0.08,0.00,,,0.00,0.00,,,,,,,,,,0.33,,,,,"Nut and Seed Products"
2026-01-05,10:35 AM,"Breakfast","Nature's Partner, Organic Blueberries","23.50 g",11.75,,,19.79,0.01,0.01,0.10,0.03,0.01,,1.41,0.71,0.67,0.00,0.13,4.54,1.68,0.01,0.05,1.41,0.08,2.82,13.43,0.02,0.24,0.04,2.85,0.67,0.01,2.01,0.00,2.18,0.17,0.00,0.01,0.03,0.01,0.00,0.01,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.08,0.00,0.00,0.00,0.01,"Fruits and Fruit Juices"
2026-01-05,11:10 AM,"Breakfast","Coffee","1.00 medium or grande - each 16 fl oz",4.74,0.00,189.44,470.71,0.07,0.36,0.90,1.20,0.00,0.00,9.47,0.00,0.00,0.00,0.05,0.47,9.47,0.01,0.05,14.21,0.11,14.21,232.06,0.00,9.47,0.09,2.23,2.23,0.00,0.00,0.00,0.00,0.09,0.00,0.07,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.01,0.57,0.00,0.00,0.01,0.01,"Beverages"
2026-01-05,11:11 AM,"Breakfast","Kirkland, Almond Milk, Original Unsweetened","0.25 cup (240ml)",7.50,,,57.83,,0.10,,,,0.30,,33.72,,50.00,2.00,,150.00,,0.05,,,,8.75,,27.50,0.50,0.25,0.25,,0.00,0.00,0.00,0.63,0.00,0.38,0.13,0.00,0.00,,,,,,,,,,0.25,,,,,"Beverages"
2026-01-05,4:55 PM,"Lunch","Avocados, Raw, California","62.00 g",103.54,,,44.84,0.05,0.09,1.19,0.91,0.18,,55.18,4.34,5.46,,1.22,13.02,8.06,0.11,0.38,17.98,0.09,33.48,314.34,0.25,4.96,0.42,5.36,4.22,0.07,0.19,,1.14,9.55,,6.08,1.13,1.32,,0.07,1.05,0.02,0.03,0.05,0.09,0.08,0.02,0.06,1.22,0.04,0.02,0.03,0.07,"Fruits and Fruit Juices"
2026-01-05,5:12 PM,"Lunch","Lightlife, Tempeh, Original","79.50 g",149.65,,,,,,,,,,,,,,,,93.53,,1.87,,,,280.59,,0.00,,11.22,5.61,,0.00,,5.61,4.21,0.00,,,0.47,0.00,,,,,,,,,,16.84,,,,,"Legumes and Legume Products"
2026-01-05,5:12 PM,"Lunch","Brussels Sprouts, Cooked from Frozen","87.50 g",36.75,0.00,0.00,75.90,0.09,0.10,0.47,0.30,0.25,0.00,88.38,40.47,39.99,0.00,0.45,169.31,22.75,0.03,0.42,15.75,0.18,49.00,253.75,0.53,13.13,0.21,7.28,3.59,0.53,1.82,0.00,3.63,0.34,0.00,0.03,0.18,0.07,0.00,0.11,0.00,0.02,0.07,0.13,0.14,0.15,0.03,0.09,3.19,0.11,0.04,0.05,0.15,"Vegetables and Vegetable Products"
2026-01-05,5:12 PM,"Lunch","Kirkland Signature, Organic Quinoa, 170 Cal","1.00 x 0.25 cup",170.00,,,5.98,0.16,0.14,0.68,0.35,0.22,,82.80,0.45,,0.00,1.10,,20.00,0.27,2.00,88.65,0.91,205.65,225.00,3.83,2.25,1.39,30.00,3.00,23.50,1.00,0.00,27.00,3.00,0.00,0.73,1.48,0.32,0.00,0.14,1.34,0.09,0.18,0.23,0.38,0.34,0.14,0.27,6.00,0.19,0.08,0.12,0.27,"Cereal Grains and Pasta"
2026-01-05,5:12 PM,"Lunch","Red Bell Peppers, Raw","41.50 g",11.21,0.00,0.00,38.15,0.02,0.06,0.42,0.13,0.13,0.00,19.51,64.98,58.81,0.00,0.66,2.03,2.49,0.02,0.15,4.57,0.06,11.21,88.40,0.00,0.00,0.08,2.76,0.48,0.00,1.74,0.00,2.25,0.05,0.00,0.00,0.03,0.01,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.02,0.37,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2026-01-05,5:12 PM,"Lunch","Tomato, Red, Raw","44.50 g",8.01,0.00,0.00,42.06,0.02,0.01,0.26,0.04,0.04,0.00,6.68,18.52,6.10,0.00,0.24,3.52,4.45,0.03,0.12,4.90,0.05,10.68,105.47,0.00,2.23,0.08,1.73,0.53,0.00,1.17,0.00,1.19,0.09,0.00,0.01,0.04,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.01,0.39,0.01,0.00,0.01,0.01,"Vegetables and Vegetable Products"
2026-01-05,5:12 PM,"Lunch","Lentils, Cooked From Dried","0.25 cup, whole pieces",57.42,0.00,0.00,34.47,0.08,0.04,0.52,0.32,0.09,0.00,89.59,0.21,0.74,0.00,0.05,0.84,9.40,0.12,1.65,17.82,0.24,89.10,182.65,1.39,0.99,0.63,9.96,2.90,6.63,0.19,0.00,7.06,0.19,0.00,0.03,0.09,0.03,0.00,0.02,0.07,0.06,0.13,0.19,0.32,0.31,0.04,0.22,4.46,0.16,0.04,0.12,0.22,"Legumes and Legume Products"
2026-01-05,5:12 PM,"Lunch","Morton Salt, Iodized Salt","0.50 x 0.25 tsp",0.00,,,0.00,,,,,,,,,,0.00,,,0.18,0.00,0.00,0.01,0.00,,0.06,0.00,295.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Spices and Herbs"
2026-01-05,5:12 PM,"Lunch","Bragg, Nutritional Yeast, Cheesy","1.00 tbsp",20.00,,,,3.10,3.15,17.50,,3.60,7.50,176.50,,,,,,,,0.50,,,,107.00,,10.00,,1.50,1.00,,,,0.50,0.00,,,,,,,,,,,,,,,2.50,,,,,"Spices and Herbs"
2026-01-05,5:12 PM,"Lunch","Mateo's, Gourmet Salsa, Medium","0.50 x 2.0 tbsp",5.00,,,,,,,,,,,,,0.00,,,10.00,,0.10,,,,35.00,,105.00,,1.00,0.00,,0.50,0.00,1.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,0.00,,,,,"Soups, Sauces, and Gravies"
2026-01-05,2:01 PM,"Snack 1","Weis, Pumpkin Seeds, Roasted & Salted","9.50 g",54.29,,,0.19,0.01,0.01,0.42,0.05,0.01,,5.42,0.23,0.17,0.00,0.05,0.43,3.39,0.12,0.78,52.25,0.43,111.53,74.64,0.89,23.75,0.73,1.36,0.68,0.07,0.12,0.00,0.68,4.75,0.00,,,0.85,0.00,,,0.03,0.07,0.12,0.23,0.12,0.06,0.16,2.71,0.09,0.05,0.10,0.15,"Nut and Seed Products"
2026-01-05,2:02 PM,"Snack 1","Kirkland Signature, Almonds","22.50 g",120.00,,,0.99,0.05,0.26,0.81,0.11,0.03,,9.90,0.14,0.00,,5.77,,60.00,0.23,0.81,60.75,0.49,108.23,150.00,0.92,0.23,0.70,4.50,2.25,0.16,0.75,,2.25,10.50,0.00,,,0.75,0.00,,,0.05,0.12,0.17,0.33,0.13,0.04,0.25,4.50,0.14,0.05,0.10,0.19,"Nut and Seed Products"
2026-01-05,2:55 PM,"Snack 1","Navitas, Organic Cacao Powder, Unsweetened, 25 Cal","0.50 tbsp",12.50,,10.00,,,,,,,,,,,0.00,,,7.00,,0.50,,,,58.00,,0.00,,1.50,1.00,,0.00,0.00,0.50,0.25,0.00,,,0.00,0.00,,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-05,2:55 PM,"Snack 1","Kirkland, Almond Milk, Original Unsweetened","0.75 cup (240ml)",22.50,,,173.50,,0.30,,,,0.90,,101.15,,150.00,6.00,,450.00,,0.15,,,,26.25,,82.50,1.50,0.75,0.75,,0.00,0.00,0.00,1.88,0.00,1.13,0.38,0.00,0.00,,,,,,,,,,0.75,,,,,"Beverages"
2026-01-05,2:55 PM,"Snack 1","Now Sports, Pea Protein, Natural Unflavored","34.00 g",136.00,,,,,,,,,,,,,0.00,,,98.60,,8.50,,,,35.70,,391.00,,1.70,1.70,,0.00,0.00,0.00,2.55,0.00,,,0.00,0.00,,,0.37,0.61,1.13,2.07,1.85,0.22,1.36,25.50,0.96,0.22,0.92,1.22,"Supplements"
2026-01-05,2:55 PM,"Snack 1","Kirkland Signature, Hemp Hearts, Shelled Hemp Seeds, Organic","5.00 g",30.00,,,0.25,0.05,0.02,0.50,,0.03,,7.50,0.05,0.03,0.00,0.17,,3.17,0.07,0.67,32.83,0.38,76.50,55.50,,0.25,0.50,0.33,0.17,,0.17,0.00,0.17,2.50,0.00,0.33,2.00,0.25,0.00,,,0.03,0.05,0.06,0.11,0.06,0.05,0.07,1.67,0.06,0.02,0.06,0.09,"Cereal Grains and Pasta"
2026-01-05,2:55 PM,"Snack 1","Volupta, Chia Seeds","5.00 g",26.67,,,,,,,,,,,,,0.00,,,30.33,,0.50,,,,29.00,,,,1.67,1.67,,0.00,0.00,0.00,1.67,0.00,0.17,1.33,0.17,,1.02,,,,,,,,,1.00,,,,,"Nut and Seed Products"
2026-01-05,2:55 PM,"Snack 1","Feel Good, Beetroot Powder","0.75 g",2.50,,,,,,,,,,,0.00,0.15,,,,2.50,,0.05,,,,19.75,,4.75,,0.50,0.25,,0.25,,0.25,0.13,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,"Supplements"
2026-01-05,3:20 PM,"Snack 1","Kirkland Signature, Vegetable Blend, Normandy-Style","1.00 cup",30.00,,,,,,,,,,,165.00,48.00,0.00,,,33.00,,1.00,,,,225.00,,30.00,,6.00,3.00,,2.00,0.00,3.00,0.00,0.00,,,0.00,0.00,,,,,,,,,,2.00,,,,,"Vegetables and Vegetable Products"
2026-01-05,3:23 PM,"Snack 1","Kirkland Signature, Organic Almond Butter, Creamy","0.75 x 2.0 tbsp",157.50,,,0.39,0.01,0.23,0.76,0.08,0.02,,12.72,0.07,,0.00,5.81,,82.50,0.22,0.75,66.96,0.51,121.92,180.00,0.58,1.68,0.79,4.50,3.75,,0.75,0.00,0.75,14.25,0.00,7.79,3.27,1.13,0.00,0.00,3.27,0.06,0.13,0.20,0.36,0.15,0.03,0.28,5.25,0.13,0.04,0.14,0.22,"Nut and Seed Products"
2026-01-05,3:33 PM,"Snack 1","Nuun, Sport, Citrus Fruit","1.00 tablet",15.00,,,,,,,,,,,,,,,,13.00,,,25.00,,,150.00,,300.00,,2.00,,,1.00,1.00,2.00,,,,,,,,,,,,,,,,,,,,,"Supplements"
